year,datetime,stage,stadium,city,team_name,team_goals,playing_against,win_conditions,attendance,referee,assistant_1,assistant_2,round_id,match_id,win,response
2014,18 Jun 2014 - 16:00,Group B,Estadio do Maracana,Rio De Janeiro,Chile,2,Spain,NA,74101,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),255931,300186498,yes,1
2014,17 Jun 2014 - 18:00,Group H,Arena Pantanal,Cuiaba,Russia,1,Korea Republic,NA,37603,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255931,300186499,no,0
2014,17 Jun 2014 - 18:00,Group H,Arena Pantanal,Cuiaba,Korea Republic,1,Russia,NA,37603,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255931,300186499,yes,1
2014,20 Jun 2014 - 13:00,Group D,Arena Pernambuco,Recife,Italy,0,Costa Rica,NA,40285,OSSES Enrique (CHI),ASTROZA Carlos (CHI),ROMAN Sergio (CHI),255931,300186500,no,0
2014,20 Jun 2014 - 13:00,Group D,Arena Pernambuco,Recife,Costa Rica,1,Italy,NA,40285,OSSES Enrique (CHI),ASTROZA Carlos (CHI),ROMAN Sergio (CHI),255931,300186500,yes,1
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Rio De Janeiro,Germany,1,Argentina,Germany win after extra time,74738,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),255959,300186501,yes,1
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Rio De Janeiro,Germany,1,Argentina,Germany win after extra time,74738,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),255959,300186501,yes,1
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Rio De Janeiro,Argentina,0,Germany,Germany win after extra time,74738,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),255959,300186501,no,0
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Rio De Janeiro,Argentina,0,Germany,Germany win after extra time,74738,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),255959,300186501,no,0
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brasilia,Brazil,0,Netherlands,NA,68034,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255957,300186502,no,0
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brasilia,Brazil,0,Netherlands,NA,68034,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255957,300186502,no,0
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brasilia,Netherlands,3,Brazil,NA,68034,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255957,300186502,yes,1
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brasilia,Netherlands,3,Brazil,NA,68034,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255957,300186502,yes,1
